timestamp,pca_abbrev,load_mw,source
2017-12-22 20:00:00,CL,6696,CL
2017-12-23 20:00:00,CL,6150,CL
2017-12-24 20:00:00,CL,5193,CL
2017-12-25 20:00:00,CL,5761,CL
2017-12-26 20:00:00,CL,6167,CL
2017-12-27 20:00:00,CL,6628,CL
2017-12-28 20:00:00,CL,6754,CL
2017-12-29 20:00:00,CL,6769,CL
2017-12-30 20:00:00,CL,6258,CL
2016-01-08 21:00:00,CL,6166,CL
2016-01-09 21:00:00,CL,5790,CL
2016-01-10 21:00:00,CL,5687,CL
2016-01-11 21:00:00,CL,6068,CL
2016-01-12 21:00:00,CL,6112,CL
2016-01-13 21:00:00,CL,6176,CL
2016-01-14 21:00:00,CL,6178,CL
2016-01-15 21:00:00,CL,6363,CL
2016-01-16 21:00:00,CL,5863,CL
2016-01-17 21:00:00,CL,5791,CL
2016-01-18 21:00:00,CL,6303,CL
2016-01-19 21:00:00,CL,6360,CL
2016-01-20 21:00:00,CL,6485,CL
2016-01-21 21:00:00,CL,6303,CL
2016-01-22 21:00:00,CL,6304,CL
2016-01-23 21:00:00,CL,5632,CL
2016-01-24 21:00:00,CL,5556,CL
2016-01-25 21:00:00,CL,6054,CL
2016-01-26 21:00:00,CL,5720,CL
2016-01-27 21:00:00,CL,5759,CL
2016-01-28 21:00:00,CL,5921,CL
2016-01-29 21:00:00,CL,6010,CL
2016-01-30 21:00:00,CL,5877,CL
2016-01-31 21:00:00,CL,5785,CL
2016-02-01 21:00:00,CL,6317,CL
2016-02-02 21:00:00,CL,6114,CL
2016-02-03 21:00:00,CL,6081,CL
2016-02-04 21:00:00,CL,6158,CL
2016-02-05 21:00:00,CL,6141,CL
2016-02-06 21:00:00,CL,5737,CL
2016-02-07 21:00:00,CL,5604,CL
2016-02-08 21:00:00,CL,6224,CL
2016-02-09 21:00:00,CL,6194,CL
2016-02-10 21:00:00,CL,6279,CL
2016-02-11 21:00:00,CL,6242,CL
2016-02-12 21:00:00,CL,6268,CL
2016-02-13 21:00:00,CL,5724,CL
2016-02-14 21:00:00,CL,5771,CL
2016-02-15 21:00:00,CL,6387,CL
2016-02-16 21:00:00,CL,6175,CL
2016-02-17 21:00:00,CL,6218,CL
2016-02-18 21:00:00,CL,6321,CL
2016-02-19 21:00:00,CL,6269,CL
2016-02-20 21:00:00,CL,5789,CL
2016-02-21 21:00:00,CL,5834,CL
2016-02-22 21:00:00,CL,6405,CL
2016-02-23 21:00:00,CL,6388,CL
2016-02-24 21:00:00,CL,6436,CL
2016-02-25 21:00:00,CL,6277,CL
2016-02-26 21:00:00,CL,6329,CL
2016-02-27 21:00:00,CL,5769,CL
2016-02-28 21:00:00,CL,5619,CL
2016-02-29 21:00:00,CL,6164,CL
2016-03-01 21:00:00,CL,6262,CL
2016-03-02 21:00:00,CL,6199,CL
2016-03-03 21:00:00,CL,6210,CL
2016-03-04 21:00:00,CL,6278,CL
2016-03-05 21:00:00,CL,5739,CL
2016-03-06 21:00:00,CL,5649,CL
2016-03-07 21:00:00,CL,5999,CL
2016-03-08 21:00:00,CL,6064,CL
2016-03-09 21:00:00,CL,6177,CL
2016-03-10 21:00:00,CL,6147,CL
2016-03-11 21:00:00,CL,6308,CL
2016-03-12 21:00:00,CL,5802,CL
2016-03-13 21:00:00,CL,5683,CL
2016-03-14 21:00:00,CL,6209,CL
2016-03-15 21:00:00,CL,6300,CL
2016-03-16 21:00:00,CL,6255,CL
2016-03-17 21:00:00,CL,6034,CL
2016-03-18 21:00:00,CL,6190,CL
2016-03-19 21:00:00,CL,5770,CL
2016-03-20 21:00:00,CL,5693,CL
2016-03-21 21:00:00,CL,6131,CL
2016-03-22 21:00:00,CL,6086,CL
2016-03-23 21:00:00,CL,5953,CL
2016-03-24 21:00:00,CL,5836,CL
2016-03-25 21:00:00,CL,5506,CL
2016-03-26 21:00:00,CL,5473,CL
2016-03-27 21:00:00,CL,5456,CL
2016-03-28 21:00:00,CL,5957,CL
2016-03-29 21:00:00,CL,5937,CL
2016-03-30 21:00:00,CL,5952,CL
2016-03-31 21:00:00,CL,5858,CL
2016-04-01 21:00:00,CL,5875,CL
2016-04-02 21:00:00,CL,5537,CL
2016-04-03 21:00:00,CL,5386,CL
2016-04-04 21:00:00,CL,5782,CL
2016-04-05 21:00:00,CL,5775,CL
2016-04-06 21:00:00,CL,5752,CL
2016-04-07 21:00:00,CL,5678,CL
2016-04-08 21:00:00,CL,5712,CL
2016-04-09 21:00:00,CL,5320,CL
2016-04-10 21:00:00,CL,5361,CL
2016-04-11 21:00:00,CL,5848,CL
2016-04-12 21:00:00,CL,5918,CL
2016-04-13 21:00:00,CL,5793,CL
2016-04-14 21:00:00,CL,5890,CL
2016-04-15 21:00:00,CL,5889,CL
2016-04-16 21:00:00,CL,5535,CL
2016-04-17 21:00:00,CL,5205,CL
2016-04-18 21:00:00,CL,5769,CL
2016-04-19 21:00:00,CL,5733,CL
2016-04-20 21:00:00,CL,5785,CL
2016-04-21 21:00:00,CL,5815,CL
2016-04-22 21:00:00,CL,5879,CL
2016-04-23 21:00:00,CL,5576,CL
2016-04-24 21:00:00,CL,5524,CL
2016-04-25 21:00:00,CL,5826,CL
2016-04-26 21:00:00,CL,5824,CL
2016-04-27 21:00:00,CL,5756,CL
2016-04-28 21:00:00,CL,5932,CL
2016-04-29 21:00:00,CL,6097,CL
2016-04-30 21:00:00,CL,5403,CL
2016-05-01 21:00:00,CL,5285,CL
2016-05-02 21:00:00,CL,5788,CL
2016-05-03 21:00:00,CL,6011,CL
2016-05-04 21:00:00,CL,5816,CL
2016-05-05 21:00:00,CL,5918,CL
2016-05-06 21:00:00,CL,6025,CL
2016-05-07 21:00:00,CL,5629,CL
2016-05-08 21:00:00,CL,5517,CL
2016-05-09 21:00:00,CL,5716,CL
2016-05-10 21:00:00,CL,5863,CL
2016-05-11 21:00:00,CL,5775,CL
2016-05-12 21:00:00,CL,5988,CL
2016-05-13 21:00:00,CL,6015,CL
2016-05-14 21:00:00,CL,5346,CL
2016-05-15 21:00:00,CL,5372,CL
2016-05-16 21:00:00,CL,5697,CL
2016-05-17 21:00:00,CL,5541,CL
2016-05-18 21:00:00,CL,5810,CL
2016-05-19 21:00:00,CL,5764,CL
2016-05-20 21:00:00,CL,5677,CL
2016-05-21 21:00:00,CL,5514,CL
2016-05-22 21:00:00,CL,5519,CL
2016-05-23 21:00:00,CL,5827,CL
2016-05-24 21:00:00,CL,5743,CL
2016-05-25 21:00:00,CL,5745,CL
2016-05-26 21:00:00,CL,5863,CL
2016-05-27 21:00:00,CL,5979,CL
2016-05-28 21:00:00,CL,5627,CL
2016-05-29 21:00:00,CL,5519,CL
